docket,violation_address,city,state,cleaned_address,corrected
23DS12477M,5544 S WOLCOTT AVE,Chicago,Illinois,5544 S WOLCOTT AVE,
22DT001390,500 S CALIFORNIA,Chicago,Illinois,500 S CALIFORNIA,
21DS20733M,656 E BOWEN AVE,Chicago,Illinois,656 E BOWEN AVE,
21DT000463,644 W SCHUBERT,Chicago,Illinois,644 W SCHUBERT,
22DT001124,2536 N ELSTON,Chicago,Illinois,2536 N ELSTON,
22DT001186,2158 W BARRY,Chicago,Illinois,2158 W BARRY,
21DT000574,2477 S ARCHER,Chicago,Illinois,2477 S ARCHER,
22DT001321,1225 W GEORGE ST,Chicago,Illinois,1225 W GEORGE ST,
21DS19247M,9037 S BISHOP ST,Chicago,Illinois,9037 S BISHOP ST,
20DS76218L,4539 S GREENWOOD AVE,Chicago,Illinois,4539 S GREENWOOD AVE,
21DT000346,1132 W DICKENS,Chicago,Illinois,1132 W DICKENS,
20DS75837L,7628 S UNION AVE,Chicago,Illinois,7628 S UNION AVE,
22DT000713,1980 N CLYBOURN,Chicago,Illinois,1980 N CLYBOURN,
22DT001815,7101 S ASHLAND,Chicago,Illinois,7101 S ASHLAND,
21DT000513,142 W HUBBARD ST,Chicago,Illinois,142 W HUBBARD ST,
21DT001229,4002 W CHICAGO,Chicago,Illinois,4002 W CHICAGO,
22DT001211,6850 W BELMONT,Chicago,Illinois,6850 W BELMONT,
21DT000339,800 W 34TH ST,Chicago,Illinois,800 W 34TH ST,
22DT000600,4853 S ARCHER,Chicago,Illinois,4853 S ARCHER,
20DS75798L,5407 S ASHLAND AVE,Chicago,Illinois,5407 S ASHLAND AVE,
22DS04276M,6120 S GREEN ST,Chicago,Illinois,6120 S GREEN ST,
21DT000535,4926 S CHAMPLAIN,Chicago,Illinois,4926 S CHAMPLAIN,
22DT000698,3347 S CARPENTER,Chicago,Illinois,3347 S CARPENTER,
21DT000680,2475 N MILWAUKEE,Chicago,Illinois,2475 N MILWAUKEE,
21DT000880,2065 N MILWAUKEE,Chicago,Illinois,2065 N MILWAUKEE,
22DS04160M,6825 S WINCHESTER AVE,Chicago,Illinois,6825 S WINCHESTER AVE,
22DS04151M,5757 S PEORIA ST,Chicago,Illinois,5757 S PEORIA ST,
22DS04281M,5757 S PEORIA ST,Chicago,Illinois,5757 S PEORIA ST,
21DT000525,530 E 44TH PL,Chicago,Illinois,530 E 44TH PL,
22DS04242M,5756 S SANGAMON ST,Chicago,Illinois,5756 S SANGAMON ST,
22DT000601,5435 S KEDZIE,Chicago,Illinois,5435 S KEDZIE,
22DT001004,1626 W BLACKHAWK,Chicago,Illinois,1626 W BLACKHAWK,
23DT000433,3020 N ASHLAND,Chicago,Illinois,3020 N ASHLAND,
21DS19415M,111 W 75TH ST,Chicago,Illinois,111 W 75TH ST,
21DT000554,318 E 35TH ST,Chicago,Illinois,318 E 35TH ST,
21DT000471,625 W DEMING PL,Chicago,Illinois,625 W DEMING PL,
21DT001033,130 S HALSTED ST,Chicago,Illinois,130 S HALSTED ST,
22DT001131,1830 S WABASH,Chicago,Illinois,1830 S WABASH,
21DT001201,1649 W BEACH,Chicago,Illinois,1649 W BEACH AVE,True
22DS04295M,5613 S CARPENTER ST,Chicago,Illinois,5613 S CARPENTER ST,
20DT000529,1529 W 87TH ST,Chicago,Illinois,1529 W 87TH ST,
